"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","JLCPCB Part#"
"C1,C3,C4,C5,C6","5","100nF","","","","Capacitor_SMD:C_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588894173265342464","C71629"
"C2","1","10uF","","","","Capacitor_SMD:C_1206_3216Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588943491833872384","C282116"
"D1,D2,D3,D4","4","XL-1608SURC-06FJ","","","","LED_SMD:LED_0603_1608Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590903609712189440","C7371900"
"FB1","1","HCB1608KF-471T20","","","","Resistor_SMD:R_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588932150485241856","C356977"
"J1","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Amphenol_10118194-0001LF_Horizontal","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588905128988446720","C132563"
"J2,J3","2","PZ254V-11-04P","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","C2691448"
"Q1","1","MMBT3904","","","","Package_TO_SOT_SMD:SOT-23","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8564879385946705920","C7420353"
"R1","1","1k2","","","","Resistor_SMD:R_0402_1005Metric","~","C25862"
"R2,R3","2","270","","","","Resistor_SMD:R_0402_1005Metric","~","C25099"
"R4","1","390","","","","Resistor_SMD:R_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706055238078464","C25163"
"R5","1","47k","","","","Resistor_SMD:R_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705927001427968","C25792"
"R8,R9,R10","3","4k7","","","","Resistor_SMD:R_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706055238078464","C25900"
"U1","1","FT232RNL","","","","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://ftdichip.com/wp-content/uploads/2024/12/DS_FT232RN.pdf","C5246810"
"U2","1","TXU0202DCU","","","","Package_SO:VSSOP-8_2.3x2mm_P0.5mm","https://www.ti.com/lit/ds/symlink/txu0202.pdf?ts=1743329581557","C5186957"
