"Comment","Designator","Footprint","LCSC Part #"
"100nF","C1 C3 C4 C5 C6","0402","C1525"
"10uF","C2","CASE-A-3216-18(mm)","C7171"
"NCD0805R1","D1 D2 D3 D4","0805","C84256"
"GZ2012D601TF","FB1","0805","C1017"
"USB_B_Micro","J1","SMD","C132563"
"Conn_02x04_Odd_Even","J2","",""
"MMBT3904","Q1","SOT-23","C20526"
"1k5","R1","0603","C22843"
"270","R2 R3","0603","C22966"
"10k","R4 R5 R6","0402","C25744"
"470","R7","0603","C23179"
"47k","R8","0603","C25819"
"FT232RNL","U1","SSOP-28","C5246810"
"TXU0202DCU","U2","VSSOP-8","C5186957"
