"Designator","Mid X","Mid Y","Layer","Rotation"
"J3","134.62mm","-125.73mm","top","0.0"
"J1","163.9mm","-129.5mm","top","90.0"
"J2","129.794mm","-125.73mm","top","0.0"
"U1","151.176mm","-132.135742mm","top","90.0"
"C3","158.312mm","-136.612mm","top","-90.0"
"Q1","142.826mm","-126.867742mm","top","180.0"
"U2","139.27mm","-133.725742mm","top","90.0"
"R10","137.414mm","-129.032mm","top","-90.0"
"R9","142.572mm","-136.519742mm","top","90.0"
"R8","142.572mm","-132.963742mm","top","90.0"
"R1","162.122mm","-123.624mm","top","0.0"
"R4","140.032mm","-123.819742mm","top","180.0"
"R5","139.27mm","-125.724742mm","top","180.0"
"C2","162.884mm","-136.612mm","top","0.0"
"R3","150.830191mm","-125.73mm","top","180.0"
"C4","132.08mm","-136.297mm","top","0.0"
"C1","144.526mm","-129.54mm","top","180.0"
"D4","143.334mm","-123.819742mm","top","0.0"
"C6","139.27mm","-137.027742mm","top","180.0"
"C5","139.27mm","-130.423742mm","top","0.0"
"D3","153.949691mm","-125.73mm","top","0.0"
"D1","159.074mm","-124.674mm","top","-90.0"
"FB1","158.82mm","-133.183mm","top","90.0"
"R2","150.876mm","-122.483742mm","top","180.0"
"D2","153.949691mm","-122.483742mm","top","0.0"
